HHHLLCC	Hue	Lightness	Chroma	DE	EN	https://www.ral-farben.de/out/ralfarben/img/thumbs/{file}.png	
H270L60C35	270°	60%	35%	Argusfalterblau	Butterfly blue	designplus-1392	
H270L70C10	270°	70%	10%	Federbleu	Feather soft blue	designplus-1393	
H270L70C15	270°	70%	15%	Satinbleu	Satin soft blue	designplus-1394	
H270L70C20	270°	70%	20%	Engelblau	Angel blue	designplus-1395	
H270L70C25	270°	70%	25%	Knabenblau	Boy blue	designplus-1396	
H270L80C10	270°	80%	10%	Perlhellbleu	Light pearl soft blue	designplus-1397	
H270L80C15	270°	80%	15%	Retinableu	Retina soft blue	designplus-1398	
H270L85C05	270°	85%	5%	Engelshaarsilber	Angel hair silver	designplus-1399	
H270L85C10	270°	85%	10%	Perlmuttsilber	Mother-of-pearl silver	designplus-1400	
H270L85C15	270°	85%	15%	Muranobleu	Murano soft blue	designplus-1401	
H270L90C05	270°	90%	5%	Bleichweiß	Bleached white	designplus-1402	
H280L20C05	280°	20%	5%	Granitschwarz	Granite black	designplus-1403	
H280L20C10	280°	20%	10%	Diamantschwarz	Diamond black	designplus-1404	
H280L20C15	280°	20%	15%	Krähenschwarz	Crow black	designplus-1405	
H280L20C20	280°	20%	20%	Manganschwarz	Manganese black	designplus-1406	
H280L20C25	280°	20%	25%	Elitenblau	Elite blue	designplus-1407	
H280L20C30	280°	20%	30%	Ambassadorblau	Ambassador blue	designplus-1408	
H280L30C05	280°	30%	5%	Smokingnachtblau	Smoking night blue	designplus-1409	
H280L30C10	280°	30%	10%	Meteoritschwarzblau	Meteorite black blue	designplus-1410	
H280L30C15	280°	30%	15%	Kohlesteinblau	Anthracite blue	designplus-1411	
H280L30C20	280°	30%	20%	Granatsteinblau	Garnet stone blue	designplus-1412	
H280L30C25	280°	30%	25%	Wasserstoffblau	Hydrogen blue	designplus-1413	
H280L30C30	280°	30%	30%	Tiefblau	Deep blue	designplus-1414	
H280L30C35	280°	30%	35%	Theaterblau	Theatre blue	designplus-1415	
H280L30C40	280°	30%	40%	Plakatblau	Poster blue	designplus-1416	
H280L40C05	280°	40%	5%	Galeriegrau	Gallery grey	designplus-1417	
H280L40C10	280°	40%	10%	Wildlederindigo	Suede indigo	designplus-1418	
H280L40C15	280°	40%	15%	Dunkellavendel	Dark lavender	designplus-1419	
H280L40C20	280°	40%	20%	Sternenhimmelblau	Starry sky blue	designplus-1420	
H280L40C25	280°	40%	25%	Indigomarineblau	Indigo navy blue	designplus-1421	
H280L40C30	280°	40%	30%	Abendblau	Evening blue	designplus-1422	
H280L40C35	280°	40%	35%	Portugalblau	Portuguese blue	designplus-1423	
H280L40C40	280°	40%	40%	Neptunblau	Neptune blue	designplus-1424	
H280L40C45	280°	40%	45%	Hyazinthenblau	Hyacinth blue	designplus-1425	
H280L50C05	280°	50%	5%	Nobelgrau	Noble grey	designplus-1426	
H280L50C10	280°	50%	10%	Eisblaugrau	Ice blue grey	designplus-1427	
H280L50C15	280°	50%	15%	Granitblau	Granite blue	designplus-1428	
H280L50C20	280°	50%	20%	Lavendellila	Lavender mauve	designplus-1429	
H280L50C25	280°	50%	25%	Kostümblau	Costume blue	designplus-1430	
H280L50C30	280°	50%	30%	Helllila	Light mauve	designplus-1431	
H280L50C35	280°	50%	35%	Saphirschimmerblau	Sapphire shimmer blue	designplus-1432	
H280L50C40	280°	50%	40%	Divenviolett	Diva violet	designplus-1433	
H280L60C05	280°	60%	5%	Tüllgrau	Tulle grey	designplus-1434	
H280L60C10	280°	60%	10%	Süßlavendel	Sweet lavender	designplus-1435	
H280L60C15	280°	60%	15%	Marmorblau	Marble blue	designplus-1436	
H280L60C20	280°	60%	20%	Nebelviolett	Misty violet	designplus-1437	
H280L60C25	280°	60%	25%	Opalviolett	Opal violet	designplus-1438	
H280L60C30	280°	60%	30%	Persischviolett	Persian violet	designplus-1439	
H280L60C35	280°	60%	35%	Organzaviolett	Organza violet	designplus-1440	
H280L70C05	280°	70%	5%	Taupegrau	Taupe grey	designplus-1441	
H280L70C10	280°	70%	10%	Tüllviolett	Tulle violet	designplus-1442	
H280L70C15	280°	70%	15%	Sandglöckchenviola	Foxflower viola	designplus-1443	
H280L70C20	280°	70%	20%	Fliederduftbleu	Lilac scent soft blue	designplus-1444	
H280L70C25	280°	70%	25%	Asterblütenblau	Aster flower blue	designplus-1445	
H280L80C05	280°	80%	5%	Violaeisgrau	Viola ice grey	designplus-1446	
H280L80C10	280°	80%	10%	Hyazinthenweißbleu	Hyacinth white soft blue	designplus-1447	
H280L80C15	280°	80%	15%	Veilchenduftbleu	Violet scent soft blue	designplus-1448	
H280L85C05	280°	85%	5%	Kieselbleuweiß	Pebble soft blue white	designplus-1449	
H280L85C10	280°	85%	10%	Schmuckweiß	Jewellery white	designplus-1450	
H280L90C05	280°	90%	5%	Lilaweiß	Mauve white	designplus-1451	
H280L93C05	280°	93%	5%	Porzellanweiß	Porcelain white	designplus-1452	
H290L20C10	290°	20%	10%	Spinellsteinschwarz	Spinel stone black	designplus-1453	
H290L20C15	290°	20%	15%	Schwarzviolett	Black violet	designplus-1454	
H290L20C20	290°	20%	20%	Tropennachtblau	Tropical night blue	designplus-1455	
H290L20C25	290°	20%	25%	Indigoviolett	Indigo violet	designplus-1456	
H290L20C30	290°	20%	30%	Ultramarinviolett	Ultramarine violet	designplus-1457	
H290L20C35	290°	20%	35%	Trollingerblau	Schiava blue	designplus-1458	
H290L30C10	290°	30%	10%	Flintsteinblau	Flintstone blue	designplus-1459	
H290L30C15	290°	30%	15%	Spinellschwarz	Spinel black	designplus-1460	
H290L30C20	290°	30%	20%	Kirchenblau	Church blue	designplus-1461	
H290L30C25	290°	30%	25%	Finsternisblau	Gloomy blue	designplus-1462	
H290L30C30	290°	30%	30%	Lembergerblau	Lviv blue	designplus-1463	
H290L30C35	290°	30%	35%	Britischlila	British mauve	designplus-1464	
H290L30C40	290°	30%	40%	Amtsviolett	Official violet	designplus-1465	
H290L40C10	290°	40%	10%	Sturmtaucherschwarz	Shearwater black	designplus-1466	
H290L40C15	290°	40%	15%	Achatviolett	Agate violet	designplus-1467	
H290L40C20	290°	40%	20%	Tieflavendel	Deep lavender	designplus-1468	
H290L40C25	290°	40%	25%	Dämmerungslila	Dusk mauve	designplus-1469	
H290L40C30	290°	40%	30%	Reichviolett	Rich violet	designplus-1470	
H290L40C35	290°	40%	35%	Zwiebelschalenblau	Onion skin blue	designplus-1471	
H290L40C40	290°	40%	40%	Schwertlilienblau	Iris blue	designplus-1472	
H290L40C45	290°	40%	45%	Veilchenblau	Violet blue	designplus-1473	
H290L50C10	290°	50%	10%	Aschlila	Ash mauve	designplus-1474	
H290L50C15	290°	50%	15%	Sturmlila	Stormy mauve	designplus-1475	
H290L50C20	290°	50%	20%	Seidenkrepplila	Silk crepe mauve	designplus-1476	
H290L50C25	290°	50%	25%	Hyazinthenlila	Hyacinth mauve	designplus-1477	
H290L50C30	290°	50%	30%	Bergblumenlila	Mountain flower mauve	designplus-1478	
H290L50C35	290°	50%	35%	Chalcedonviolett	Chalcedony violet	designplus-1479	
H290L50C40	290°	50%	40%	Gladiolenblau	Gladiola blue	designplus-1480	
H290L60C10	290°	60%	10%	Lavendelblütengrau	Lavender blossom grey	designplus-1481	
H290L60C15	290°	60%	15%	Grazilviolett	Delicate violet	designplus-1482	
H290L60C20	290°	60%	20%	Opernlila	Opera mauve	designplus-1483	
H290L60C25	290°	60%	25%	Bleulavendel	Soft blue lavender	designplus-1484	
H290L60C30	290°	60%	30%	Plisseelila	Pleated mauve	designplus-1485	
H290L60C35	290°	60%	35%	Echtlavendel	True lavender	designplus-1486	
H290L70C10	290°	70%	10%	Cremeviolett	Cream violet	designplus-1487	
H290L70C15	290°	70%	15%	Glyzinienhellbleu	Wisteria light soft blue	designplus-1488	
H290L70C20	290°	70%	20%	Blütenlila	Blossom mauve	designplus-1489	
H290L70C25	290°	70%	25%	Sorbeteislila	Sorbet ice mauve	designplus-1490	
H290L80C10	290°	80%	10%	Tulipanbleu	Tulip soft blue	designplus-1491	
H290L80C15	290°	80%	15%	Blasslila	Pale lilac	designplus-1492	
H290L85C05	290°	85%	5%	Kalklila	Limestone mauve	designplus-1493	
H290L85C10	290°	85%	10%	Orchideenweiß	Orchid white	designplus-1494	
H290L90C05	290°	90%	5%	Violettweiß	Violet white	designplus-1495	
H290L93C05	290°	93%	5%	Fliederweiß	Lilac white	designplus-1496	
H300L20C05	300°	20%	5%	Nachtschwarz	Night black	designplus-1497	
H300L20C10	300°	20%	10%	Reiherblau	Heron blue	designplus-1498	
H300L20C15	300°	20%	15%	Violaschwarz	Viola black	designplus-1499	
H300L20C20	300°	20%	20%	Brombeerschwarz	Blackberry black	designplus-1500	
H300L20C25	300°	20%	25%	Kardinallila	Cardinal mauve	designplus-1501	
H300L20C30	300°	20%	30%	Zeremonienpurpur	Ceremonial purple	designplus-1502	
H300L30C05	300°	30%	5%	Nachtgrau	Night grey	designplus-1503	
H300L30C10	300°	30%	10%	Trauerviolett	Mourning violet	designplus-1504	
H300L30C15	300°	30%	15%	Clubgrau	Club grey	designplus-1505	
H300L30C20	300°	30%	20%	Maulbeerlilaschwarz	Mulberry mauve black	designplus-1506	
H300L30C25	300°	30%	25%	Abendlila	Evening mauve	designplus-1507	
H300L30C30	300°	30%	30%	Opernblau	Opera blue	designplus-1508	
H300L30C35	300°	30%	35%	Tiefviolett	Deep violet	designplus-1509	
H300L30C40	300°	30%	40%	Salbeiviolett	Sage violet	designplus-1510	
H300L40C05	300°	40%	5%	Barockgrau	Baroque grey	designplus-1511	
H300L40C10	300°	40%	10%	Gobelinlila	Gobelin mauve	designplus-1512	
H300L40C15	300°	40%	15%	Orchideengrau	Orchid grey	designplus-1513	
H300L40C20	300°	40%	20%	Altlila	Old mauve	designplus-1514	
H300L40C25	300°	40%	25%	Parmalila	Parma mauve	designplus-1515	
H300L40C30	300°	40%	30%	Wollviolett	Wool violet	designplus-1516	
H300L40C35	300°	40%	35%	Edelpurpur	Fine purple	designplus-1517	
H300L40C40	300°	40%	40%	Clematisblau	Clematis blue	designplus-1518	
H300L40C45	300°	40%	45%	Krönungsblau	Coronation blue	designplus-1519	
H300L50C05	300°	50%	5%	Falkengrau	Hawk grey	designplus-1520	
H300L50C10	300°	50%	10%	Veilchengrau	Violet grey	designplus-1521	
H300L50C15	300°	50%	15%	Auerhahnlila	Capercaillie mauve	designplus-1522	
H300L50C20	300°	50%	20%	Pariserviolett	Parisian violet	designplus-1523	
H300L50C25	300°	50%	25%	Tulpenviolett	Tulip violet	designplus-1524	
H300L50C30	300°	50%	30%	Spielzeuglila	Toy mauve	designplus-1525	
H300L50C35	300°	50%	35%	Winterzeitlila	Wintertime mauve	designplus-1526	
H300L50C40	300°	50%	40%	Klarlila	Clear mauve	designplus-1527	
H300L60C05	300°	60%	5%	Rebhuhngrau	Partridge grey	designplus-1528	
H300L60C10	300°	60%	10%	Rosengrau	Rose grey	designplus-1529	
H300L60C15	300°	60%	15%	Antikviola	Antique viola	designplus-1530	
H300L60C20	300°	60%	20%	Ritterspornviolett	Larkspur violet	designplus-1531	
H300L60C25	300°	60%	25%	Seidenflieder	Silk lilac	designplus-1532	
H300L60C30	300°	60%	30%	Heliotroplila	Heliotropic mauve	designplus-1533	
H300L60C35	300°	60%	35%	Amethystgrau	Amethyst grey	designplus-1534	
H300L70C05	300°	70%	5%	Samtgrau	Velvet grey	designplus-1535	
H300L70C10	300°	70%	10%	Morgendunstgrau	Morning mist grey	designplus-1536	
H300L70C15	300°	70%	15%	Lidschattenviola	Eyeshadow viola	designplus-1537	
H300L70C20	300°	70%	20%	Lavendelviolett	Lavender violet	designplus-1538	
H300L70C25	300°	70%	25%	Pinklavendel	Pink lavender	designplus-1539	
H300L80C05	300°	80%	5%	Dunstlila	Hazy mauve	designplus-1540	
H300L80C10	300°	80%	10%	Blassviolett	Pale violet	designplus-1541	
H300L80C15	300°	80%	15%	Eislila	Ice mauve	designplus-1542	
H300L85C05	300°	85%	5%	Zartviola	Delicate viola	designplus-1543	
H300L85C10	300°	85%	10%	Puderviolaweiß	Powder viola white	designplus-1544	
H300L90C05	300°	90%	5%	Lasurweiß	Translucent white	designplus-1545	
H310L20C20	310°	20%	20%	Obsidianlavaschwarz	Obsidian lava black	designplus-1546	
H310L20C25	310°	20%	25%	Operettenlila	Operetta mauve	designplus-1547	
H310L20C30	310°	20%	30%	Machtviolett	Powerful violet	designplus-1548	
H310L30C15	310°	30%	15%	Dunkelgraulila	Dark grey mauve	designplus-1549	
H310L30C20	310°	30%	20%	Machtlila	Powerful mauve	designplus-1550	
H310L30C25	310°	30%	25%	Englischviolett	English violet	designplus-1551	
H310L30C30	310°	30%	30%	Kristallpurpur	Crystal purple	designplus-1552	
H310L30C35	310°	30%	35%	Prägnantviolett	Succinct violet	designplus-1553	
H310L30C40	310°	30%	40%	Lodenpurpur	Loden purple	designplus-1554	
H310L40C10	310°	40%	10%	Dunkelpink	Dark pink	designplus-1555	
H310L40C15	310°	40%	15%	Schleierviolett	Violet haze	designplus-1556	
H310L40C20	310°	40%	20%	Indigorot	Indigo red	designplus-1557	
H310L40C25	310°	40%	25%	Charoitviolett	Charoite violet	designplus-1558	
H310L40C30	310°	40%	30%	Königspurpur	Royal purple	designplus-1559	
H310L40C35	310°	40%	35%	Magentaveilchen	Magenta violet	designplus-1560	
H310L40C40	310°	40%	40%	Purlila	Pure mauve	designplus-1561	
H310L50C10	310°	50%	10%	Trüblila	Dull mauve	designplus-1562	
H310L50C15	310°	50%	15%	Batikflieder	Batik lilac	designplus-1563	
H310L50C20	310°	50%	20%	Provenceviolett	Provence violet	designplus-1564	
H310L50C25	310°	50%	25%	Baronesslila	Baroness mauve	designplus-1565	
H310L50C30	310°	50%	30%	Bitterviolett	Bitter violet	designplus-1566	
H310L50C35	310°	50%	35%	Violettrosé	Violet rose	designplus-1567	
H310L50C40	310°	50%	40%	Orchideenlila	Orchid mauve	designplus-1568	
H310L60C10	310°	60%	10%	Dezentlila	Gentle mauve	designplus-1569	
H310L60C15	310°	60%	15%	Rauchlila	Smoky mauve	designplus-1570	
H310L60C20	310°	60%	20%	Safranblütenlila	Saffron blossom mauve	designplus-1571	
H310L60C25	310°	60%	25%	Kokettpink	Flirty pink	designplus-1572	
H310L60C30	310°	60%	30%	Pfingstrosenlila	Peony mauve	designplus-1573	
H310L60C35	310°	60%	35%	Lilapurpur	Lilac purple	designplus-1574	
H310L70C10	310°	70%	10%	Amorphrosé	Amorphous rose	designplus-1575	
H310L70C15	310°	70%	15%	Transparentlila	Transparent mauve	designplus-1576	
H310L70C20	310°	70%	20%	Blaurosa	Blue pink	designplus-1577	
H310L70C25	310°	70%	25%	Glasviolett	Glass violet	designplus-1578	
H310L80C10	310°	80%	10%	Puderviola	Powder viola	designplus-1579	
H310L80C15	310°	80%	15%	Orchideenviolett	Orchid violet	designplus-1580	
H310L85C05	310°	85%	5%	Feenrosa	Fairy pink	designplus-1581	
H310L85C10	310°	85%	10%	Tricotfliederweiß	Tricot lilac white	designplus-1582	
H310L90C05	310°	90%	5%	Mauerblümchenweiß	Wallflower white	designplus-1583	
H320L20C05	320°	20%	5%	Lavaschwarz	Lava black	designplus-1584	
H320L20C10	320°	20%	10%	Obsidianrot	Obsidian red	designplus-1585	
H320L20C15	320°	20%	15%	Spinellviolett	Spinel violet	designplus-1586	
H320L20C20	320°	20%	20%	Auberginenlila	Aubergine mauve	designplus-1587	
H320L20C25	320°	20%	25%	Dunkelpurpur	Dark purple	designplus-1588	
H320L30C05	320°	30%	5%	Violettschwarz	Violet black	designplus-1589	
H320L30C10	320°	30%	10%	Steinviolett	Stone violet	designplus-1590	
H320L30C15	320°	30%	15%	Amethystdunkelviolett	Amethyst dark violet	designplus-1591	
H320L30C20	320°	30%	20%	Dunkelbrombeer	Dark blackberry	designplus-1592	
H320L30C25	320°	30%	25%	Purpuritviolett	Purpurite violet	designplus-1593	
H320L30C30	320°	30%	30%	Zwetschgenlila	Damson mauve	designplus-1594	
H320L30C35	320°	30%	35%	Traubenpurpur	Grape purple	designplus-1595	
H320L30C37	320°	30%	37%	Loungeviolett	Lounge violet	designplus-1596	
H320L40C05	320°	40%	5%	Schieferlila	Slate mauve	designplus-1597	
H320L40C10	320°	40%	10%	Olivinbasalt	Olivine basalt	designplus-1598	
H320L40C15	320°	40%	15%	Antikgrau	Antique grey	designplus-1599	
H320L40C20	320°	40%	20%	Basilikumlila	Basil mauve	designplus-1600	
H320L40C25	320°	40%	25%	Gladiolenviolett	Gladiola violet	designplus-1601	
H320L40C30	320°	40%	30%	Krautblütenviolett	Cabbage blossom violet	designplus-1602	
H320L40C35	320°	40%	35%	Fliederviolett	Lilac violet	designplus-1603	
H320L40C40	320°	40%	40%	Veilchenpurpur	Violet purple	designplus-1604	
H320L50C05	320°	50%	5%	Grauviolett	Grey violet	designplus-1605	
H320L50C10	320°	50%	10%	Britischgrauviolett	British grey mauve	designplus-1606	
H320L50C15	320°	50%	15%	Parmagrau	Parma grey	designplus-1607	
H320L50C20	320°	50%	20%	Alpenveilchen	Cyclamen	designplus-1608	
H320L50C25	320°	50%	25%	Poesielila	Poetry mauve	designplus-1609	
H320L50C30	320°	50%	30%	Violagrau	Viola grey	designplus-1610	
H320L50C35	320°	50%	35%	Astervioletta	Aster violetta	designplus-1611	
H320L50C40	320°	50%	40%	Empireviolett	Empire violet	designplus-1612	
H320L60C05	320°	60%	5%	Aragonitgrau	Aragonite grey	designplus-1613	
H320L60C10	320°	60%	10%	Kreideviolett	Chalk violet	designplus-1614	
H320L60C15	320°	60%	15%	Amethystgrauviolett	Amethyst grey violet	designplus-1615	
H320L60C20	320°	60%	20%	Wunderveilchen	Wonder violet	designplus-1616	
H320L60C25	320°	60%	25%	Nachtschattenviolett	Nightshade violet	designplus-1617	
H320L60C30	320°	60%	30%	Lobbylila	Lobby lilac	designplus-1618	
H320L60C35	320°	60%	35%	Sorbetbrombeer	Blackberry sorbet	designplus-1619	
H320L70C05	320°	70%	5%	Holundergrau	Elderberry grey	designplus-1620	
H320L70C10	320°	70%	10%	Glockenblumenviolett	Bellflower violet	designplus-1621	
H320L70C15	320°	70%	15%	Quarzviolett	Quartz violet	designplus-1622	
H320L70C20	320°	70%	20%	Strandflieder	Beach lilac	designplus-1623	
H320L70C25	320°	70%	25%	Fliederpink	Lilac pink	designplus-1624	
H320L80C05	320°	80%	5%	Hellviolett	Light violet	designplus-1625	
H320L80C10	320°	80%	10%	Amethysthellviolett	Amethyst light violet	designplus-1626	
H320L80C15	320°	80%	15%	Kosmetiklila	Cosmetic mauve	designplus-1627	
H320L85C05	320°	85%	5%	Brombeercreme	Blackberry cream	designplus-1628	
H320L85C10	320°	85%	10%	Ametrinquarz	Ametrine quartz	designplus-1629	
H320L90C05	320°	90%	5%	Apatitrosa	Apatite pink	designplus-1630	
H330L20C20	330°	20%	20%	Tiefgrundlila	Profound mauve	designplus-1631	
H330L20C25	330°	20%	25%	Opulentlila	Opulent mauve	designplus-1632	
H330L30C15	330°	30%	15%	Korinthenviolett	Currant violet	designplus-1633	
H330L30C20	330°	30%	20%	Mexikanischpurpur	Mexican purple	designplus-1634	
H330L30C25	330°	30%	25%	Parmapflaumenrot	Parma plum red	designplus-1635	
H330L30C30	330°	30%	30%	Intensivpurpur	Intense purple	designplus-1636	
H330L30C35	330°	30%	35%	Opulentpurpur	Opulent purple	designplus-1637	
H330L30C40	330°	30%	40%	Intensivlila	Intense mauve	designplus-1638	
H330L40C10	330°	40%	10%	Patinaviolett	Patina violet	designplus-1639	
H330L40C15	330°	40%	15%	Dunkelpurpurgrau	Dark purple grey	designplus-1640	
H330L40C20	330°	40%	20%	Amaranthrot	Amaranth red	designplus-1641	
H330L40C25	330°	40%	25%	Tiefmagenta	Deep magenta	designplus-1642	
H330L40C30	330°	40%	30%	Phloxblumenviolett	Phloxflower violet	designplus-1643	
H330L40C35	330°	40%	35%	Distellila	Thistle mauve	designplus-1644	
H330L40C40	330°	40%	40%	Visionarot	Visiona red	designplus-1645	
H330L40C45	330°	40%	45%	Purpuritrot	Purpurite red	designplus-1646	
H330L50C10	330°	50%	10%	Jutegrau	Burlap grey	designplus-1647	
H330L50C15	330°	50%	15%	Saphirrosa	Sapphire pink	designplus-1648	
H330L50C20	330°	50%	20%	Prachtnelkenlila	Dianthus mauve	designplus-1649	
H330L50C25	330°	50%	25%	Kristallrosa	Crystal pink	designplus-1650	
H330L50C30	330°	50%	30%	Tulipanviolett	Tulipan violet	designplus-1651	
H330L50C35	330°	50%	35%	Violettrot	Violet red	designplus-1652	
H330L50C40	330°	50%	40%	Orchideenpurpur	Orchid purple	designplus-1653	
H330L60C10	330°	60%	10%	Greigeviolett	Greige violet	designplus-1654	
H330L60C15	330°	60%	15%	Vesuvianviolett	Vesuvian violet	designplus-1655	
H330L60C20	330°	60%	20%	Enzianviolett	Gentian violet	designplus-1656	
H330L60C25	330°	60%	25%	Gründerzeitpink	Wilhelminian pink	designplus-1657	
H330L60C30	330°	60%	30%	Bühnenlila	Stage mauve	designplus-1658	
H330L60C35	330°	60%	35%	Pfingstnelkenlila	Cheddar pink mauve	designplus-1659	
H330L60C40	330°	60%	40%	Colomborotlila	Colombo red mauve	designplus-1660	
H330L70C10	330°	70%	10%	Nebelrosa	Mist pink	designplus-1661	
H330L70C15	330°	70%	15%	Lauchblütenpink	Leek blossom pink	designplus-1662	
H330L70C20	330°	70%	20%	Erdbeerrosa	Strawberry pink	designplus-1663	
H330L70C25	330°	70%	25%	Purpurrosa	Purple pink	designplus-1664	
H330L70C30	330°	70%	30%	Kleeblütenrosa	Clover pink	designplus-1665	
H330L80C10	330°	80%	10%	Purpurweiß	Purple white	designplus-1666	
H330L80C15	330°	80%	15%	Lieblichrosa	Lovely pink	designplus-1667	
H330L80C20	330°	80%	20%	Designerrosa	Designer pink	designplus-1668	
H330L85C05	330°	85%	5%	Hellmagnolienrosé	Light magnolia rose	designplus-1669	
H330L85C10	330°	85%	10%	Himbeerrosa	Raspberry pink	designplus-1670	
H330L85C15	330°	85%	15%	Himmlischrosa	Heavenly pink	designplus-1671	
H330L90C05	330°	90%	5%	Delikatessweiß	Delicacy white	designplus-1672	
H340L20C05	340°	20%	5%	Lakritzschwarz	Liquorice black	designplus-1673	
H340L20C10	340°	20%	10%	Mangostanoviolett	Mangosteen violet	designplus-1674	
H340L20C15	340°	20%	15%	Sitterrot	Sitter red	designplus-1675	
H340L20C20	340°	20%	20%	Saftviolett	Juice violet	designplus-1676	
H340L20C25	340°	20%	25%	Prestigelila	Prestige mauve	designplus-1677	
H340L30C05	340°	30%	5%	Apfelkrautschwarz	Apple herb black	designplus-1678	
H340L30C10	340°	30%	10%	Passionsfruchtlila	Passionfruit mauve	designplus-1679	
H340L30C15	340°	30%	15%	Dunkelfeigenviolett	Dark fig violet	designplus-1680	
H340L30C20	340°	30%	20%	Rubinviolett	Ruby violet	designplus-1681	
H340L30C25	340°	30%	25%	Brombeertiefrot	Blackberry deep red	designplus-1682	
H340L30C30	340°	30%	30%	Tiefrot	Deep red	designplus-1683	
H340L30C35	340°	30%	35%	Samtlila	Velvet mauve	designplus-1684	
H340L30C38	340°	30%	38%	Waldfruchtrot	Forest fruit red	designplus-1685	
H340L40C05	340°	40%	5%	Lilabraun	Mauve brown	designplus-1686	
H340L40C10	340°	40%	10%	Spinellgrau	Spinel grey	designplus-1687	
H340L40C15	340°	40%	15%	Erdbraunviolett	Earth brown violet	designplus-1688	
H340L40C20	340°	40%	20%	Dahlienmattrot	Dahlia matte red	designplus-1689	
H340L40C25	340°	40%	25%	Brokatviolett	Brocade violet	designplus-1690	
H340L40C30	340°	40%	30%	Krappmagenta	Madder magenta	designplus-1691	
H340L40C35	340°	40%	35%	Clublila	Club mauve	designplus-1692	
H340L40C40	340°	40%	40%	Kirschrot	Cherry red	designplus-1693	
H340L40C45	340°	40%	45%	Magentarot	Magenta red	designplus-1694	
H340L50C05	340°	50%	5%	Jubiläumsgrau	Jubilee grey	designplus-1695	
H340L50C10	340°	50%	10%	Portweinrot	Port wine red	designplus-1696	
H340L50C15	340°	50%	15%	Rohgranatviola	Raw garnet viola	designplus-1697	
H340L50C20	340°	50%	20%	Kreuzblumenrot	Milkwort red	designplus-1698	
H340L50C25	340°	50%	25%	Rostmagenta	Rust magenta	designplus-1699	
H340L50C30	340°	50%	30%	Himbeergeleerot	Raspberry jelly red	designplus-1700	
H340L50C35	340°	50%	35%	Fingerhutrot	Thimble red	designplus-1701	
H340L50C40	340°	50%	40%	Cyclamonrot	Cyclamen red	designplus-1702	
H340L50C45	340°	50%	45%	Brillantkarmin	Brilliant carmine	designplus-1703	
H340L60C05	340°	60%	5%	Erikarotgrau	Heather red grey	designplus-1704	
H340L60C10	340°	60%	10%	Pianomauve	Piano mauve	designplus-1705	
H340L60C15	340°	60%	15%	Abendrosa	Evening pink	designplus-1706	
H340L60C20	340°	60%	20%	Caprimodepink	Capri fashion pink	designplus-1707	
H340L60C25	340°	60%	25%	Antikpink	Antique hot pink	designplus-1708	
H340L60C30	340°	60%	30%	Wangenrot	Cheek red	designplus-1709	
H340L60C35	340°	60%	35%	Malvenblütenpink	Hollyhock blossom pink	designplus-1710	
H340L60C40	340°	60%	40%	Bischofsrot	Bishop red	designplus-1711	
H340L70C05	340°	70%	5%	Lilagrau	Mauve grey	designplus-1712	
H340L70C10	340°	70%	10%	Buchweizenlila	Buckwheat mauve	designplus-1713	
H340L70C15	340°	70%	15%	Malvenrosa	Hollyhock pink	designplus-1714	
H340L70C20	340°	70%	20%	Idyllenrosa	Idyllic pink	designplus-1715	
H340L70C25	340°	70%	25%	Windenblütenpink	Morning glory pink	designplus-1716	
H340L70C30	340°	70%	30%	Softfuchsia	Soft fuschia	designplus-1717	
H340L70C35	340°	70%	35%	Prallpink	Firm pink	designplus-1718	
H340L80C05	340°	80%	5%	Pianograurosé	Piano grey rose	designplus-1719	
H340L80C10	340°	80%	10%	Minzblütenrosé	Mint blossom rose	designplus-1720	
H340L80C15	340°	80%	15%	Skandalrosé	Scandalous rose	designplus-1721	
H340L80C20	340°	80%	20%	Bonbonrosa	Bonbon rose	designplus-1722	
H340L85C05	340°	85%	5%	Erdbeercreme	Strawberry cream	designplus-1723	
H340L85C10	340°	85%	10%	Hellflamingopink	Light flamingo pink	designplus-1724	
H340L85C15	340°	85%	15%	Lacklila	Lacquer mauve	designplus-1725	
H340L90C05	340°	90%	5%	Rosenweiß	Rose white	designplus-1726	
H340L93C05	340°	93%	5%	Kleiderrosa	Dress pink	designplus-1727	
H350L20C10	350°	20%	10%	Glühweinrot	Mulled wine red	designplus-1728	
H350L20C15	350°	20%	15%	Sanftrot	Soft red	designplus-1729	
H350L20C20	350°	20%	20%	Sternrubin	Star ruby	designplus-1730	
H350L20C25	350°	20%	25%	Chilischwarzrot	Chilli black red	designplus-1731	
H350L20C30	350°	20%	30%	Tulpenbaumpurpur	Tulip poplar purple	designplus-1732	
H350L30C10	350°	30%	10%	Sperlinggraurot	Sparrow grey red	designplus-1733	
H350L30C15	350°	30%	15%	Kieselrot	Siliceous red	designplus-1734	
H350L30C20	350°	30%	20%	Likörrot	Liqueur red	designplus-1735	
H350L30C25	350°	30%	25%	Weingummirot	Wine gummy red	designplus-1736	
H350L30C30	350°	30%	30%	Burlatrot	Burlat red	designplus-1737	
H350L30C35	350°	30%	35%	Bordeauxrot	Bordeaux red	designplus-1738	
H350L30C40	350°	30%	40%	Trockenblumenpurpur	Dried flower purple	designplus-1739	
H350L40C10	350°	40%	10%	Auberginengrau	Aubergine grey	designplus-1740	
H350L40C15	350°	40%	15%	Schlafmohnmauve	Opium mauve	designplus-1741	
