RAL 5020	Ozeanblau	Ocean blue	Bleu océan	Azul oceano	Blu oceano	Oceaanblauw	classic-99	
RAL 5021	Wasserblau	Water blue	Bleu d’eau	Azul agua	Blu acqua	Waterblauw	classic-100	
RAL 5022	Nachtblau	Night blue	Bleu nocturne	Azul noche	Blu notte	Nachtblauw	classic-101	
RAL 5023	Fernblau	Distant blue	Bleu distant	Azul lejanía	Blu distante	Verblauw	classic-102	
RAL 5024	Pastellblau	Pastel blue	Bleu pastel	Azul pastel	Blu pastello	Pastelblauw	classic-103	
RAL 5025	Perlenzian	Pearl gentian blue	Gentiane nacré	Gencian perlado	Blu genziana perlato	Parelmoer blauw	classic-104	
RAL 5026	Perlnachtblau	Pearl night blue	Bleu nuit nacré	Azul noche perlado	Blu notte perlato	Parelmoer nachtblauw	classic-105	
RAL 6000	Patinagrün	Patina green	Vert patine	Verde patina	Verde patina	Patinagroen	classic-106	
RAL 6001	Smaragdgrün	Emerald green	Vert émeraude	Verde esmeralda	Verde smeraldo	Smaragdgroen	classic-107	
RAL 6002	Laubgrün	Leaf green	Vert feuillage	Verde hoja	Verde foglia	Loofgroen	classic-108	
RAL 6003	Olivgrün	Olive green	Vert olive	Verde oliva	Verde oliva	Olijfgroen	classic-109	
RAL 6004	Blaugrün	Blue green	Vert bleu	Verde azulado	Verde bluastro	Blauwgroen	classic-110	
RAL 6005	Moosgrün	Moss green	Vert mousse	Verde musgo	Verde muschio	Mosgroen	classic-111	
RAL 6006	Grauoliv	Grey olive	Olive gris	Oliva grisáceo	Oliva grigiastro	Grijs olijfgroen	classic-112	
RAL 6007	Flaschengrün	Bottle green	Vert bouteille	Verde botella	Verde bottiglia	Flessengroen	classic-113	
RAL 6008	Braungrün	Brown green	Vert brun	Verde parduzco	Verde brunastro	Bruingroen	classic-114	
RAL 6009	Tannengrün	Fir green	Vert sapin	Verde abeto	Verde abete	Dennengroen	classic-115	
RAL 6010	Grasgrün	Grass green	Vert herbe	Verde hierba	Verde erba	Grasgroen	classic-116	
RAL 6011	Resedagrün	Reseda green	Vert réséda	Verde reseda	Verde reseda	Resedagroen	classic-117	
RAL 6012	Schwarzgrün	Black green	Vert noir	Verde negruzco	Verde nerastro	Zwartgroen	classic-118	
RAL 6013	Schilfgrün	Reed green	Vert jonc	Verde caña	Verde canna	Rietgroen	classic-119	
RAL 6014	Gelboliv	Yellow olive	Olive jaune	Amarillo oliva	Oliva giallastro	Geel olijfgroen	classic-120	
RAL 6015	Schwarzoliv	Black olive	Olive noir	Oliva negruzco	Oliva nerastro	Zwart olijfgroen	classic-121	
RAL 6016	Türkisgrün	Turquoise green	Vert turquoise	Verde turquesa	Verde turchese	Turkooisgroen	classic-122	
RAL 6017	Maigrün	May green	Vert mai	Verde mayo	Verde maggio	Meigroen	classic-123	
RAL 6018	Gelbgrün	Yellow green	Vert jaune	Verde amarillento	Verde giallastro	Geelgroen	classic-124	
RAL 6019	Weißgrün	Pastel green	Vert blanc	Verde blanquecino	Verde biancastro	Witgroen	classic-125	
RAL 6020	Chromoxidgrün	Chrome green	Vert oxyde chromique	Verde cromo	Verde cromo	Chroomoxyde groen	classic-126	
RAL 6021	Blassgrün	Pale green	Vert pâle	Verde pálido	Verde pallido	Bleekgroen	classic-127	
RAL 6022	Braunoliv	Olive drab	Olive brun	Oliva parduzco	Oliva brunastro	Bruin olijfgroen	classic-128	
RAL 6024	Verkehrsgrün	Traffic green	Vert signalisation	Verde tráfico	Verde traffico	Verkeersgroen	classic-129	
RAL 6025	Farngrün	Fern green	Vert fougère	Verde helecho	Verde felce	Varengroen	classic-130	
RAL 6026	Opalgrün	Opal green	Vert opale	Verde opalo	Verde opale	Opaalgroen	classic-131	
RAL 6027	Lichtgrün	Light green	Vert clair	Verde luminoso	Verde chiaro	Lichtgroen	classic-132	
RAL 6028	Kieferngrün	Pine green	Vert pin	Verde pino	Verde pino	Pijnboomgroen	classic-133	
RAL 6029	Minzgrün	Mint green	Vert menthe	Verde menta	Verde menta	Mintgroen	classic-134	
RAL 6032	Signalgrün	Signal green	Vert de sécurité	Verde señales	Verde segnale	Signaalgroen	classic-135	
