URL	ID	DE	EN	FR	ES	IT	NL
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-49.png	RAL 3005	Weinrot	Wine red	Rouge vin	Rojo vino	Rosso vino	Wijnrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-50.png	RAL 3007	Schwarzrot	Black red	Rouge noir	Rojo negruzco	Rosso nerastro	Zwartrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-51.png	RAL 3009	Oxidrot	Oxide red	Rouge oxyde	Rojo óxido	Rosso ossido	Oxyderood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-52.png	RAL 3011	Braunrot	Brown red	Rouge brun	Rojo pardo	Rosso marrone	Bruinrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-53.png	RAL 3012	Beigerot	Beige red	Rouge beige	Rojo beige	Rosso beige	Beigerood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-54.png	RAL 3013	Tomatenrot	Tomato red	Rouge tomate	Rojo tomate	Rosso pomodoro	Tomaatrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-55.png	RAL 3014	Altrosa	Antique pink	Vieux rose	Rojo viejo	Rosa antico	Oudroze
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-56.png	RAL 3015	Hellrosa	Light pink	Rose clair	Rosa claro	Rosa chiaro	Lichtroze
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-57.png	RAL 3016	Korallenrot	Coral red	Rouge corail	Rojo coral	Rosso corallo	Koraalrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-58.png	RAL 3017	Rosé	Rose	Rosé	Rosa	Rosato	Bleekrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-59.png	RAL 3018	Erdbeerrot	Strawberry red	Rouge fraise	Rojo fresa	Rosso fragola	Aardbeirood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-60.png	RAL 3020	Verkehrsrot	Traffic red	Rouge signalisation	Rojo tráfico	Rosso traffico	Verkeersrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-61.png	RAL 3022	Lachsrot	Salmon pink	Rouge saumon	Rojo salmón	Rosso salmone	Zalmrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-62.png	RAL 3024	Leuchtrot	Luminous red	Rouge brillant	Rojo brillante	Rosso brillante	Briljantrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-63.png	RAL 3026	Leuchthellrot	Luminous bright red	Rouge clair brillant	Rojo claro brillante	Rosso chiaro brillante	Briljant lichtrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-64.png	RAL 3027	Himbeerrot	Raspberry red	Rouge framboise	Rojo frambuesa	Rosso lampone	Framboosrood
